design,n,gm_synth_uplift_pct,gm_pnr_uplift_pct,mean_synth_minus_pnr_pct,n_both_gain,n_synth_gain_pnr_within_noise,n_synth_gain_pnr_loss,frac_both_gain,frac_synth_gain_pnr_within_noise,frac_synth_gain_pnr_loss
aes,3,24.65008631542023,21.713691055593554,2.9294249520694997,3,0,0,1.0,0.0,0.0
bitonic_sorter,3,3.7517451974290905,-1.9080632163024136,5.723505597262647,0,0,2,0.0,0.0,0.6666666666666666
double_fpu,3,19.179494167078094,23.264967719901364,-4.099322665782079,3,0,0,1.0,0.0,0.0
e203,6,7.1278295285861715,1.6567857392269847,5.780519910668731,1,5,0,0.16666666666666666,0.8333333333333334,0.0
jpeg_encoder,3,28.333664506729917,15.34841244692906,15.54107841794577,3,0,0,1.0,0.0,0.0
reed_solomon,6,60.122244863361814,42.56014380219708,17.558845761460237,6,0,0,1.0,0.0,0.0
sha512,3,37.8062359735563,29.407787764033255,8.421510217401865,3,0,0,1.0,0.0,0.0
systolic_tpu,6,58.532327456123866,50.38444185512168,8.661506600484675,6,0,0,1.0,0.0,0.0
uberddr3,3,15.042930284632018,0.4064310931679138,14.635644141658885,0,3,0,0.0,1.0,0.0
verilog_axi,3,34.52200757440862,4.206367957642132,30.336630325951315,3,0,0,1.0,0.0,0.0
viterbi,6,120.88099352638491,62.176442162487724,60.952452919590314,6,0,0,1.0,0.0,0.0
wb_dma,3,609.8774460015113,12.803159934126063,596.4047588289627,1,2,0,0.3333333333333333,0.6666666666666666,0.0
